,Title,Company,Rating,Location,Salary,Post_date,Extract_date,Job_url
1416,"Director, Data Scientist - Corporate - US",Sysco,3.4,"['Houston, TX']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=714cfe9048af6e33&fccid=053befe8409ab9e4&vjs=3
1417,Senior Data Science Engineer |LATAM|,BairesDev,4.5,"['Colon, PA•Remote']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=1738f47c5a72fad2&fccid=29707109e86166e5&vjs=3
1418,Data Scientist,The World's Largest Social Network,,"['Menlo Park, CA']",,5 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSgjPPcnEdvoK3uuxfISLALE6pB1FR7YSHOr_tSg5_QG3t1Hr_pxjWcifj9wviFg-9nGsiLEqlaqAdzvhIZfjnM-M9X__nBZZmMX20Ae3h8B8tQW1CdJEVEL3syNWrI-WcW8d3rxF-RxOPfjeh6-y7Jpvrg4Wau_bS2NZcac_ZmbqjOlz-8NYj6Awl-QgjHiMsehfnQXDzwV8ezXsh-k-qD4eTI99YiL5giiS0-Ekh31iI7xf66eoYbIRkj13lqBaiKs7sQY3IfeM20qnpbmikG879vTUKuHUGCyaP2rLdSjcCTWP_t63KWcGX9jF1K-R7FCIYGeO-uwoGwwKL-d07ZdL-2UQGNOIQGyWCzkkJOT4GQN2aUcCvqjqSuo1LKXiHBqNzocH7NmSi1OfT1oVKleQipAFs01_rYh4H0oKASDZmEl0xCmttcslc2zcDLr1oi2cydKK16Rbxcd3VKoVmaB6VH1CV9DZY04-bvwhWgoyVcmW7KtIaCajhxpEtkEEkJFbREvaRQD7hC7XQ3TJ9l1_v23yfMNrsWw1Xpok2K5pvtshf4u_0SPSVfWjjJdL5tgUYDRLlJA==&p=10&fvj=0&vjs=3
1419,Lead Data Science Analyst - Digital Analytics,Discover,3.9,"['Riverwoods, IL 60015']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=93fc787b8d54aa23&fccid=6ce7e0d9f67a9961&vjs=3
1420,Lead Data Science Analyst,Discover,3.9,"['Riverwoods, IL 60015']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=e87ddf5360265526&fccid=6ce7e0d9f67a9961&vjs=3
1421,"Director, Data Scientist - Corporate - US",Sysco,3.4,"['Houston, TX']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=714cfe9048af6e33&fccid=053befe8409ab9e4&vjs=3
1422,Senior Data Science Engineer |LATAM|,BairesDev,4.5,"['Colon, PA•Remote']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=1738f47c5a72fad2&fccid=29707109e86166e5&vjs=3
1423,AI/ML Health Data Scientist – Senior Consultant,Guidehouse,3.4,"['Stockbridge, GA 30281+9 locations']",,5 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yLKGpcQzZ_O8bUunUZGLJ7PTRCMk0WFs9e5uEnx1wzApUYXk5dweb2lKjUoGuKjsEdTwc-veczpoAH0d8_P2bTjtyAFYh7pmG5zpI2mZ9YJBPJewXEaHxiXaHOIK6Nfyrqeil5hxVtCRWR4UFYDRJVHBINAcj9wwcS7oBLWw3TRwEh1yrne9IC8e7GUSR32B_iAL0JtNKZsVb9iEgOVAJzxslJGtqwlubR8sw1Ig3cQI1MnjrM9dRWL4GIsTLRfJrkkxRdMP9CcnI_sxCVlJpD28xcS3uCxe1CP_zkzDOtdPg3tMrFW8W0JDLfCMquH187bCVWv8eyIc21OI02btG3wH_2LD-15s9pdTieAPgA3blLO6CX2B9OSMHgVcVx0RUcsEVPxKAV9g&p=13&fvj=0&vjs=3
1424,"(USA) Director, Data Science",Walmart,3.5,"['Sunnyvale, CA 94087']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=74cfd2589ac7d0d5&fccid=822bc5d9a49270ea&vjs=3
1425,Lead Data Scientist- Lumen MTS,Lumen,3.5,['Remote'],,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=746a1c4b8b6ec2c1&fccid=fa05afb3210273ab&vjs=3
